occupation	hisco	status	relation	product
"proprietor of railway shares"	-1			
"labourer's widow"	-1			
"house proprieter"	-1			
"in pensioner"	-1			
"land proprietress"	-1			
"beggar"	-1			
"charterhouse pensioner"	-1			
"navy pensioner"	-1			
"government annuitant"	-1			
"funded proprietor"	-1			
"bank pensioner"	-1			
"single woman"	-1			
"annuitant"	-1			
"pauper"	-1			
"government pensioner"	-1			
"orphan"	-1			
"superannuated from post office"	-1			
"gentlewoman"	-1			
"proprietor of silver mines and mining engineer"	-1			
"scavenger"	-1			
"greenwich pensioner"	-1			
"pensioner"	-1			
"dock pensioner"	-1			
"gentleman (deceased)"	-1			
"e.i.c. pensioner"	-1			
"proprietress of houses"	-1			
"prisoner"	-1			
"house proprietor"	-1			
"proprietor of houses"	-1			
"widow"	-1			
"east india pensioner"	-1			
"almsman"	-1			
"esquire"	-1			
"baronet, g.c.b."	-1			
"van proprietor"	-1			
"fund holder"	-1			
"scholar of christ's hospital"	-1			
"count"	-1			
"out pensioner of chelsea hospital"	-1			
"out pensioner greenwich hospital"	-1			
"architect's pupil"	-1			
"pupil at ufton house"	-1			
"schoolboy"	-1			
"out pensioner"	-1			
"london dockyard apprentice"	-1			
"lord, clerk in holy orders"	-1			
"dockyard pensioner"	-1			
"a foundling"	-1			
"foundling"	-1			
"almswoman"	-1			
"pensioner e.i.c."	-1			
"freeholder"	-1			
"almsman, formerly coachman"	-1			
"inmate"	-1			
"fundholder"	-1			
"gentleman"	-1			
"independent"	-1			
"landed proprieter"	-1			
"knight, formerly lieut. colonel"	-1			
"gentleman (d)"	-1			
"student"	-1			
"baronet"	-1			
"tramp"	-1			
"knight"	-1			
"spinster"	-1			
"wife of mexican minister"	-1			
"customs pensioner"	-1			
"chemist"	1110			
"chemist's assistant"	1110			
"astronomer"	1350			
"gold and silver assayer"	1390			
"chemist's laboratory man"	1400			
"distiller's chemist"	1400			
"chemist's man"	1400			
"demonstrator of chemistry"	1420			
"architect"	2120			
"architect and surveyor"	2120			
"civil engineer"	2210			
"mechanical engineer"	2410			
"district surveyor"	3010			
"land surveyor"	3020			
"draughtsman"	3110			
"draftsman"	3110			
"lithographic draughtsman"	3180			
"lithographic artist"	3180			
"navigator"	4140			
"master of ship palmerston"	4215			
"master r.n."	4215			
"master mariner"	4215			
"barge master"	4220			
"chief mate in steamship"	4230			
"ship's mate"	4230			
"shipmaster"	4270			
"coasting pilot"	4290			
"pilot"	4290			
"engineer of vessel"	4320			
"engineer r.n."	4320			
"engineer on steam vessel"	4320			
"engineer of steam vessel"	4320			
"m.d."	6105			
"medical practitioner"	6105			
"physician"	6105			
"doctor of medicine"	6105			
"surgeon, f.r.c.s."	6110			
"formerly surgeon in east india company's service"	6110			
"army surgeon"	6110			
"surgeon"	6110			
"dentist"	6310			
"surgeon dentist"	6310			
"veterinary surgeon"	6510			
"veterinary surgeon's assistant"	6610			
"dispenser of medicines"	6710			
"chemist and druggist"	6710			
"workhouse nurse"	7110			
"nurse"	7110			
"formerly nurse"	7110			
"hosptial nurse"	7110			
"hospital nurse"	7110			
"nurse in cholera hospital"	7120			
"monthly nurse"	7190			
"optician"	7530			
"indian ayah or nurse"	7710			
"keeper at hoxton house lunatic asylum"	7990			
"superintendent of temporary cholera hospital, new street, bishopsgate"	7990			
"quack doctor"	7990			
"herbalist"	7990			
"accountant"	11010			
"barrister at law"	12110			
"writer"	12110			
"lawyer"	12110			
"attorney"	12110			
"solicitor (retired)"	12110			
"writer and grainer"	12110			
"barrister"	12110			
"serjeant at law"	12110			
"solicitor"	12110			
"law writer"	12110			
"judge of admiralty of barbados, deceased"	12210			
"american judge"	12210			
"beadle"	12910			
"music teacher"	13000			
"private tutor"	13000			
"drill instructor"	13000			
"pupil teacher"	13020			
"schoolmistress"	13020			
"school master"	13020			
"schoolmaster"	13020			
"teacher"	13020			
"professor of chemistry"	13120			
"professor of mathematics"	13140			
"professor of languages"	13170			
"professor of music"	13190			
"professor of drawing"	13190			
"teacher of languages"	13215			
"teacher of music"	13250			
"governess"	13960			
"late governess"	13960			
"independent minister"	14120			
"hebrew minister"	14120			
"clergyman"	14120			
"clerk in orders"	14120			
"clerk in holy orders"	14120			
"calvinist minister"	14120			
"congregational minister"	14120			
"rector of alhallows, staining"	14120			
"dissenting minister"	14120			
"city missionary"	14130			
"missionary"	14130			
"sister of the order of the sacred heart"	14140			
"under beedle"	14990			
"scripture reader"	14990			
"literary author"	15120			
"literary man"	15900			
"journalist"	15915			
"editor"	15920			
"sub editor of army and navy gazette"	15920			
"newspaper editor"	15920			
"reporter"	15930			
"sculptor"	16120			
"formerly a sculptor"	16120			
"artist in oil"	16130			
"pavement landscape painter"	16130			
"animal painter"	16130			
"landscape painter"	16130			
"artist in water colours"	16130			
"portrait painter"	16130			
"marine artist"	16130			
"painter and glazier"	16130			
"seal engraver"	16150			
"artist in wood"	16190			
"pattern designer"	16240			
"photographer"	16310			
"photographic artist"	16390			
"artist"	17000			
"theatrical"	17000			
"composer"	17120			
"pianist"	17140			
"organist"	17140			
"irish piper"	17140			
"fiddler"	17140			
"organ player"	17140			
"street musician"	17140			
"bandsman"	17140			
"musician"	17140			
"vocalist"	17145			
"dancing master"	17230			
"actor"	17320			
"stage manager"	17490			
"comedian"	17990			
"equestrian"	18020			
"riding master"	18090			
"relieving officer"	19320			
"underwriter"	19950			
"shipping agent"	19990			
"superannuated officer in the court of chancery"	20110			
"chief registrar of court of bankruptcy"	20210			
"public record officer"	20210			
"registrar"	20210			
"sheriff's officer"	20210			
"sheriff's officer's assistant"	20210			
"civic functionary"	20210			
"manager"	21000			
"manufacturing goldsmith"	21110			
"cotton manufacturer"	21110			
"publisher"	21110			
"pin manufacturer"	21110			
"spiral spill manufacturer"	21110			
"portfolio manufacturer"	21110			
"colour manufacturer"	21110			
"mill stone manufacturer"	21110			
"pianoforte manufacturer"	21110			
"cabinet manufacturer"	21110			
"assistant to a pickle manufacturer"	21110			
"isinglass manufacturer"	21110			
"floorcloth manufacturer"	21110			
"lace manufacturer"	21110			
"woollen cloth manufacturer"	21110			
"hairpin manufacturer"	21110			
"glass manufacturer"	21110			
"fringe manufacturer"	21110			
"soap manufacturer"	21110			
"glove manufacturer"	21110			
"manufacturer of fancy goods"	21110			
"tobacco manufacturer"	21110			
"perambulator manufacturer"	21110			
"neats foot oil manufacturer (master)"	21110			
"sauce manufacturer"	21110			
"horsehair manufacturer"	21110			
"compostion manufacturer"	21110			
"wool merchant"	21110			
"book publisher"	21110			
"range manufacturer"	21110			
"spruce merchant"	21110			
"lime light manufacturer"	21110			
"gutta percha manufacturer"	21110			
"publican's manager"	21220			
"office manager"	21220			
"ironmaster"	21220			
"cheesemonger's manager"	21220			
"warehouse manager"	21220			
"manager of sawmill"	21220			
"machinist manager"	21220			
"glass dealer's manager"	21220			
"manager to wine merchant"	21220			
"water proofer's manager"	21220			
"manager of galvanized iron works"	21220			
"manager at india rubber works"	21220			
"manager of glass works"	21220			
"formerly manager at a wharf"	21220			
"manager of mines"	21220			
"insurance manager"	21220			
"contractor"	21240			
"railway contractor"	21240			
"dust contractor"	21240			
"brick contractor"	21240			
"secretary at an insurance office"	21940			
"booking office keeper"	21940			
"formerly secretary to the london mechanics institution"	21940			
"workhouseman"	21940			
"secretary to a society"	21940			
"office keeper"	21940			
"inspector at london docks"	22000			
"inspector of works"	22000			
"sub inspector of sewers"	22000			
"surveyor"	22000			
"cotton looker"	22000			
"cask inspector"	22000			
"superintendent of stores"	22000			
"secretary"	22110			
"meter inspector"	22200			
"railway station master"	22210			
"railway servant"	22210			
"station master"	22210			
"postmaster (r)"	22220			
"railway inspector"	22240			
"railway carriage examiner"	22240			
"cab master"	22290			
"piermaster"	22290			
"wharfinger"	22290			
"dockyard officer"	22290			
"superintendent of soup kitchen"	22425			
"retired housekeeper"	22425			
"cook and housekeeper"	22425			
"housekeeper"	22425			
"formerly housekeeper"	22425			
"steward"	22440			
"house steward"	22440			
"formerly a butler"	22490			
"butler"	22490			
"foreman ironworks"	22610			
"brickmakers foreman"	22610			
"painter's foreman"	22610			
"timber merchant's foreman"	22610			
"ganger, bridge works"	22610			
"sheep foreman"	22610			
"dust contractor's foreman"	22610			
"foreman at gasworks"	22610			
"foreman in the london docks"	22610			
"foreman of vintners porters"	22610			
"bricklayer's foreman"	22610			
"coal wharf foreman"	22610			
"slater's foreman"	22610			
"foreman to sheepwash manufacturer"	22610			
"dock foreman"	22610			
"silversmith (foreman)"	22610			
"foreman at a timber yard"	22610			
"wharf foreman"	22610			
"wine merchant's foreman"	22610			
"foreman royal arsenal"	22610			
"foreman at shot factory"	22610			
"printseller"	22610			
"foreman to hop merchant"	22610			
"foreman, lime works"	22610			
"tailors foreman"	22610			
"coal merchant's foreman"	22610			
"foreman at sack warehouse"	22610			
"foreman (livery stable)"	22610			
"foreman to china dealer"	22610			
"foreman in east and west india docks"	22610			
"jobmaster's foreman"	22610			
"foreman asphalte works"	22610			
"foreman at animal charcoal works"	22610			
"foreman at a wharf"	22610			
"foreman of contract horses"	22610			
"foreman in dustyard"	22610			
"brickmaker (foreman)"	22610			
"contractor's foreman"	22610			
"tea dealer's foreman"	22610			
"foreman of sailmakers"	22610			
"dock ganger"	22610			
"bank manager"	22620			
"manager of a bank"	22620			
"fish inspector"	22665			
"builder's foreman"	22675			
"printer's superintendent"	22690			
"clerk to burial board"	30000			
"merchant's clerk"	30000			
"commercial clerk"	30000			
"office boy"	30000			
"clerk of the works"	30000			
"surveyor's clerk"	30000			
"government clerk"	30000			
"merchants clerk"	30000			
"registrar to public company"	30000			
"retired officer (inland revenue)"	31000			
"vice consul"	31000			
"ward collector"	31020			
"rate collectore"	31020			
"tax collector"	31020			
"officer of inland revenue"	31030			
"superannuated officer inland revenue"	31030			
"late controller of h.m. customs"	31040			
"excise officer"	31040			
"custom's officer"	31040			
"custom house officer"	31040			
"out door officer, customs"	31040			
"customs' officer"	31040			
"customs officer"	31040			
"custom house agent"	31040			
"deputy lieutenant county of caithness"	31090			
"short hand writer"	32130			
"shorthand writer"	32130			
"book keeper"	33110			
"assistant paymaster, r.n."	33110			
"formerly a book keeper"	33110			
"bookkeeper"	33110			
"cashier"	33135			
"toll collector"	33160			
"turnpike toll collector"	33160			
"post office clerk"	33170			
"clerk in the post office"	33170			
"engineer's clerk"	33910			
"accountants clerk"	33940			
"formerly clerk in the london and westminster bank"	33940			
"banker's clerk"	33940			
"bullion clerk"	33940			
"insurance clerk"	33940			
"clerk in bank"	33940			
"clerk in insurance office"	33940			
"revenue clerk"	33940			
"bankers clerk"	33940			
"clerk to colonial broker"	33940			
"clerk in assurance office"	33940			
"bank clerk"	33940			
"accountant's clerk"	33940			
"timekeeper"	33990			
"builder's timekeeper"	33990			
"collector"	33990			
"omnibus timekeeper"	33990			
"brewer's collector"	33990			
"ticket collector"	36000			
"check taker at tea gardens"	36000			
"railway ticket collector"	36020			
"railway ticket examiner"	36020			
"railway ticket inspector"	36020			
"omnibus conductor"	36040			
"public carriage attendant"	36090			
"post office officer"	37000			
"sorter in post office"	37020			
"letter sorter"	37020			
"letter carrier"	37030			
"postman"	37030			
"errand boy"	37040			
"civil service messenger"	37040			
"tax office messenger"	37040			
"courier"	37040			
"dock messenger"	37040			
"messenger at british museum"	37040			
"sessions messenger"	37040			
"carriers messenger"	37040			
"grocer's errand boy"	37040			
"messenger"	37040			
"messenger (deceased)"	37040			
"board of trade messenger"	37040			
"telegraph clerk"	38040			
"mercantile clerk"	39110			
"railway goods checker"	39130			
"storekeeper"	39140			
"storekeeper at gasworks"	39140			
"warehouse keeper in london docks"	39140			
"ham and beef warehousekeeper"	39140			
"coalmeter's man"	39150			
"coal weigher"	39150			
"weigher at coal depot"	39150			
"clerk, war office"	39310			
"inland revenue clerk"	39310			
"shipping clerk"	39310			
"brewery clerk"	39310			
"clerk (deceased)"	39310			
"brewer's clerk"	39310			
"hosier's clerk"	39310			
"clerk in admiralty office"	39310			
"wharf clerk"	39310			
"clerk at newspaper office"	39310			
"clerk"	39310			
"clerk in customs"	39310			
"wharfinger's clerk"	39310			
"customs clerk"	39310			
"builders clerk"	39310			
"office clerk"	39310			
"clerk (customs)"	39310			
"carrier's clerk"	39310			
"clerk in commander in chief's office"	39310			
"clerk at brewery"	39310			
"custom house clerk"	39310			
"builder's clerk"	39310			
"clerk at gassworks"	39310			
"law stationer's clerk"	39310			
"hotel clerk"	39310			
"clerk to meat salesman"	39310			
"dock clerk"	39310			
"law clerk"	39340			
"solicitor's clerk"	39340			
"process server"	39340			
"barrister's clerk"	39340			
"lawyer's clerk"	39340			
"clerk to queen's counsel"	39340			
"county court clerk"	39340			
"judge's clerk"	39340			
"notary's clerk"	39340			
"barristers clerk"	39340			
"clerk in county court"	39340			
"solicitors clerk"	39340			
"auctioneer's clerk"	39390			
"clerk in general register office"	39920			
"printer's reader"	39940			
"station clerk blackwell railway"	39960			
"railway clerk"	39960			
"parish clerk"	39990			
"ticket writer"	39990			
"wholesale ironmonger"	41020			
"bladder dealer"	41020			
"corn merchant"	41020			
"chandler (master)"	41020			
"artist colorman"	41020			
"iron dealer"	41020			
"hop merchant"	41020			
"mininig broker"	41020			
"drug broker"	41020			
"fruit broker"	41020			
"ship broker"	41020			
"oil and colourman"	41020			
"provision broker"	41020			
"lead merchant"	41020			
"ship chandler"	41020			
"pig dealer"	41020			
"chandler"	41020			
"fish factor"	41020			
"wax chandler"	41020			
"colourman"	41020			
"fruit dealer"	41020			
"wholesale hosier"	41020			
"cloth merchant"	41020			
"cornchandler"	41020			
"cattle dealer"	41020			
"colonial and metal broker"	41020			
"shipbroker"	41020			
"print colourer"	41020			
"furniture broker"	41020			
"oil broker"	41020			
"wholesale milliner"	41020			
"corn chandler"	41020			
"colonial broker"	41020			
"fruit merchant"	41020			
"artist's colourman"	41020			
"oil and colour man"	41020			
"clothes dealer"	41025			
"timber merchant"	41025			
"horsedealer"	41025			
"cheesemonger's assystant"	41025			
"retired cheesemonger"	41025			
"mustard merchant"	41025			
"dealer"	41025			
"cigar dealer"	41025			
"catmeat dealer"	41025			
"provision dealer"	41025			
"tea dealer and grocer"	41025			
"pickle merchant"	41025			
"picture dealer"	41025			
"wine seller"	41025			
"egg merchant"	41025			
"tool dealer"	41025			
"butter dealer"	41025			
"corn dealer"	41025			
"dealer in woollen cuttings, &c"	41025			
"merchant"	41025			
"dealer in marine stores"	41025			
"oil lamp dealer"	41025			
"dealer in fat"	41025			
"dutch merchant"	41025			
"fish dealer"	41025			
"marine storedealer"	41025			
"cheesemonger's assistant"	41025			
"toy dealer"	41025			
"marine store dealer"	41025			
"orange merchant"	41025			
"parchment dealer"	41025			
"cigar merchant"	41025			
"ostrich feather merchant"	41025			
"wine merchant"	41025			
"poulterer"	41025			
"glass dealer"	41025			
"dealer in catsmeat"	41025			
"dealer in paraffin oil and lamps"	41025			
"coal dealer"	41025			
"china dealer's assistant"	41025			
"fire wood dealer"	41025			
"dealer in fancy goods"	41025			
"earthenware dealer's assistant"	41025			
"coke dealer"	41025			
"tea taster and buyer"	41025			
"furniture dealer"	41025			
"glass merchant"	41025			
"lace merchant"	41025			
"tea dealer"	41025			
"tallow chandler"	41025			
"dealer in building materials"	41025			
"alum merchant"	41025			
"corndealer"	41025			
"tallowchandler"	41025			
"coal merchant"	41025			
"bird dealer"	41025			
"china dealer"	41025			
"dealer in birds"	41025			
"earthenware dealer"	41025			
"cheesemonger"	41025			
"tea broker"	41025			
"dry goods merchant"	41025			
"cheesemonger (master)"	41025			
"china and glass dealer"	41025			
"skin dealer"	41025			
"dealer in jewellery"	41025			
"beer dealer"	41025			
"leather merchant"	41025			
"curiosity dealer"	41025			
"coal seller"	41025			
"coradealer"	41025			
"cork merchant"	41025			
"cement merchant"	41025			
"silk dealer"	41025			
"fancy repository keeper"	41030			
"shopkeeper"	41030			
"general dealer"	41030			
"hosier"	41030			
"linen draper"	41030			
"tobacconist"	41030			
"ironmonger's assistant"	41030			
"waste paper seller"	41030			
"bookseller"	41030			
"fancy dress merchant"	41030			
"meat salesman"	41030			
"leather seller"	41030			
"druggist"	41030			
"silkmercer"	41030			
"draper (master)"	41030			
"shell fishmonger"	41030			
"fishmonger"	41030			
"chandler's shopkeeper"	41030			
"woollendraper"	41030			
"news agent"	41030			
"clothes saleman"	41030			
"fishmonger's man"	41030			
"provision merchant"	41030			
"fruit vendor"	41030			
"outfitter"	41030			
"woollen draper"	41030			
"milk retailer"	41030			
"hosier's assistant"	41030			
"draper"	41030			
"clothier"	41030			
"linendraper's assistant"	41030			
"fishmonger's assistant"	41030			
"draper's assistant"	41030			
"linendraper"	41030			
"stationer"	41030			
"grocer"	41030			
"clothier's assistant"	41030			
"ladies outfitter"	41030			
"teagrocer"	41030			
"ironmonger"	41030			
"chymist"	41030			
"newsagent"	41030			
"chandler's shop keeper"	41030			
"fruiterer"	41030			
"clothiers assistant"	41030			
"drapers assistant"	41030			
"greengrocer"	41030			
"apothecary"	41030			
"hosier assistant"	41030			
"bookseller and publisher"	41030			
"stationer's assistant"	41030			
"bookseller's assistant"	41030			
"master grocer"	41030			
"law stationer"	41030			
"greengrocer (deceased)"	41030			
"proprietor of boats"	41040			
"laundry keeper"	41040			
"livery stable keeper"	41040			
"shipkeeper"	41040			
"funeral carriage proprietor"	41040			
"shipowner"	41040			
"ship keeper"	41040			
"cab proprieter"	41040			
"liverystable keeper"	41040			
"fly proprietor"	41040			
"retired omnibus proprietor"	41040			
"job master"	41040			
"cab proprietor"	41040			
"omnibus proprietor"	41040			
"stuff buyer"	42220			
"merchant's buyer"	42220			
"commisionaire"	42230			
"navy agent"	42230			
"commissionaire"	42230			
"general agent"	43200			
"agent"	43200			
"brewer's traveller"	43220			
"distiller's traveller"	43220			
"travelling knife and scissor grinder"	43220			
"traveller"	43220			
"mercantile traveller"	43220			
"traveller (stationer)"	43220			
"chalk agent"	43220			
"biscuit traveller"	43220			
"wine merchant's traveller"	43220			
"commercial traveller"	43220			
"draper's traveller"	43220			
"commercial traveller (deceased)"	43220			
"comm. traveller"	43220			
"grocer's traveller"	43220			
"town traveller"	43220			
"travelling showman"	43220			
"retired commercial traveller"	43220			
"clothier's traveller"	43220			
"dried fruit merchant's traveller"	43220			
"bacon and cheese factor"	43230			
"colonial agent"	43230			
"agent to asphalte company"	43230			
"brewer's agent"	43230			
"commision agent"	43230			
"army agent"	43230			
"commercial agent"	43230			
"insurance agent"	44120			
